,District,School Code,School Name,number,score,vote
589,Trinity Alps Unified,5337456,Trinity High,197,49.8527918782,0.392217418159
590,Pierce Joint Unified,635250,Pierce High,60,61.7666666667,0.491949910555
591,El Dorado Union High,930164,Union Mine High,559,72.5563506261,0.450687146322
592,Madera Unified,110965,Madera South High,139,55.5539568345,0.410989010989
593,Selma Unified,1036672,Selma High,102,72.7058823529,0.420860119707
594,Moreno Valley Unified,3330438,Valley View High,226,63.185840708,0.469946679593
595,Corona-Norco Unified,3330446,Centennial High,531,77.8192090395,0.432162875041
596,Tamalpais Union High,2134419,San Andreas High (Continuatio,20,45.0,0.799247249566
597,Kern Union High,110999,Frontier High,987,64.9118541033,0.413674372848
598,Vacaville Unified,4837803,Vacaville High,822,60.6204379562,0.599636693915
599,Rialto Unified,102830,Wilmer Amina Carter High,150,69.2066666667,0.687595200059
600,Beaumont Unified,3330479,Beaumont Senior High,653,64.9356814701,0.438963901901
601,Twin Rivers Unified,3436979,Rio Linda High,429,51.2447552448,0.568253063551
602,Lake Elsinore Unified,3330487,Temescal Canyon High,616,56.1006493506,0.462993693993
603,Wasco Union High,1536440,Wasco High,68,61.1323529412,0.23132780083
604,Garden Grove Unified,3035581,Pacifica High,633,74.5781990521,0.479469770449
605,Visalia Unified,5435839,Sequoia High,23,14.0,0.573157315732
606,Hemet Unified,3330503,Helen Hunt Jackson Alternativ,112,45.3482142857,0.515662650602
607,Fortuna Union High,1233352,East High (Continuation),17,6.0,0.516848016848
608,El Rancho Unified,1932706,El Rancho High,11,55.0,0.724100213553
609,Riverside Unified,3330511,Opportunity Program,57,13.9473684211,0.591321544905
610,East Nicolaus Joint Union High,5132758,East Nicolaus High,137,77.3357664234,0.364355689525
611,Tustin Unified,102871,Arnold O. Beckman High,559,86.9177101968,0.644908350305
612,Murrieta Valley Unified,3330529,Murrieta Valley High,921,76.654723127,0.579817419196
613,Hemet Unified,3330537,West Valley High,331,62.0755287009,0.406815688426
614,Whittier Union High,1937903,Santa Fe High,112,59.75,0.775243309002
615,Val Verde Unified,3330552,Rancho Verde High,133,59.2255639098,0.622008590714
616,Fortuna Union High,1233402,Fortuna Union High,421,51.432304038,0.516848016848
617,Val Verde Unified,3330560,Val Verde High,14,21.0,0.632077582991
618,San Francisco Unified,3830288,Balboa High,66,81.7272727273,0.857183118439
619,Palm Springs Unified,3330578,Cathedral City High,233,65.008583691,0.708031733163
620,Corona-Norco Unified,3330586,Lee V. Pollard High (Cont.),58,26.0,0.581043375328
621,Acalanes Union High,733725,Las Lomas High,762,85.3215223097,0.744512996865
622,East Side Union High,4330023,Santa Teresa High,526,66.7414448669,0.727166715256
623,Santa Barbara Unified,4231726,Dos Pueblos Senior High,726,84.2865013774,0.31875
624,East Side Union High,4330031,Independence High,98,59.7346938776,0.800276490201
625,Paso Robles Joint Unified,119354,Independence High,73,29.0,0.417312984739
