A:group1,B:group2,C:test,D:corr,E:counts,F:mean,G:std,H:corr_w_1
male,econ_ok,math,-0.094,268,6.104,7.258,-0.233
male,female,math,-0.082,361,1.253,6.127,-0.295
male,hispanic,math,0.126,383,-3.185,6.333,-0.258
male,hispanic_econ_dis,math,0.255,364,-3.959,7.245,-0.230
male,hispanic_econ_ok,math,0.046,227,1.546,9.416,-0.266
male,male,math,nan,394,0.000,0.000,-0.248
male,white,math,0.231,173,9.991,12.401,-0.011
male,white_econ_dis,math,0.349,118,6.789,12.948,-0.073
male,white_econ_ok,math,0.372,136,14.723,14.631,-0.036
white,afam,math,-0.447,110,-15.076,16.263,0.224
white,afam_econ_dis,math,-0.493,74,-20.268,17.693,0.272
white,afam_econ_ok,math,-0.423,72,-11.075,15.632,0.200
white,all,math,-0.271,178,-9.434,11.756,0.171
white,asian,math,-0.341,117,13.135,14.202,0.003
white,asian_econ_dis,math,-0.284,77,8.745,17.516,0.156
white,asian_econ_ok,math,-0.322,91,19.547,11.963,0.137
white,econ_dis,math,-0.089,169,-14.990,12.629,0.138
white,econ_ok,math,-0.334,170,-3.518,10.453,0.147
white,female,math,-0.287,173,-8.530,12.276,0.124
white,hispanic,math,-0.280,166,-16.796,12.699,0.137
white,hispanic_econ_dis,math,-0.162,151,-20.009,12.520,0.155
white,hispanic_econ_ok,math,-0.382,149,-10.498,13.057,0.148
white,male,math,-0.231,173,-9.991,12.401,0.153
white,white,math,nan,178,0.000,0.000,0.171
white,white_econ_dis,math,0.054,118,-3.144,8.943,0.207
white,white_econ_ok,math,0.230,139,5.364,7.008,0.227
white_econ_dis,afam,math,-0.450,88,-9.743,16.793,0.344
white_econ_dis,afam_econ_dis,math,-0.421,60,-14.856,17.434,0.317
white_econ_dis,afam_econ_ok,math,-0.473,57,-5.223,15.009,0.324
white_econ_dis,all,math,-0.321,118,-6.386,13.124,0.224
white_econ_dis,asian,math,-0.485,89,18.574,15.726,0.266
white_econ_dis,asian_econ_dis,math,-0.371,60,13.438,17.871,0.321
white_econ_dis,asian_econ_ok,math,-0.444,70,25.660,14.182,0.360
white_econ_dis,econ_dis,math,-0.212,118,-12.053,11.466,0.224
white_econ_dis,econ_ok,math,-0.338,115,0.398,13.084,0.263
white_econ_dis,female,math,-0.326,118,-5.359,13.166,0.224
white_econ_dis,hispanic,math,-0.415,115,-12.436,13.681,0.264
white_econ_dis,hispanic_econ_dis,math,-0.312,110,-15.550,12.740,0.292
white_econ_dis,hispanic_econ_ok,math,-0.447,106,-5.980,15.342,0.277
white_econ_dis,male,math,-0.349,118,-6.789,12.948,0.224
